,scan_id,target_id,distractor_ids,utterance,stimulus_id,coarse_reference_type,reference_type,instance_type,anchors_types,anchor_ids,tokens,dataset,mentions_target_class,correct_guess,is_train,summarized_utterance,target_object,anchor_objects,referential_order,ref_objects_rel
10,scene0101_00,66,[68],choose the backpack that is far away from the toilet paper,scene0101_00-backpack-2-66-68,horizontal,farthest,backpack,['toilet paper'],[88],"['choose', 'the', 'backpack', 'that', 'is', 'far', 'away', 'from', 'the', 'toilet', 'paper']",sr3d,True,True,True,choose the backpack that is far away from the toilet paper,backpack,"['toilet paper', 'backpack']","['toilet paper', 'backpack']","[['toilet paper', 'paper towel', 'paper', 'toilet', 'toilet paper holder', 'paper towel roll', 'toilet paper dispenser', 'toiletry', 'cloth', 'toilet brush', 'trash can'], ['backpack', 'bag', 'duffel bag', 'purse', 'luggage', 'food bag', 'suitcase', 'grocery bag', 'golf bag', 'shopping bag', 'messenger bag']]"
11,scene0002_01,3,[4],select the plant that is near the tv,scene0002_01-plant-2-3-4,horizontal,closest,plant,['tv'],[0],"['select', 'the', 'plant', 'that', 'is', 'near', 'the', 'tv']",sr3d,True,True,True,select the plant that is near the tv,plant,"['tv', 'plant']","['tv', 'plant']","[['tv', 'tv stand', 'fan', 'bar', 'car', 'picture', 'remote', 'monitor', 'mail', 'salt', 'laptop'], ['plant', 'pot', 'potted plant', 'picture', 'flowerpot', 'decoration', 'can', 'block', 'fish', 'object', 'container']]"
12,scene0270_02,28,[44],choose the backpack that is in front of the microwave,scene0270_02-backpack-2-28-44,allocentric,front,backpack,['microwave'],[15],"['choose', 'the', 'backpack', 'that', 'is', 'in', 'front', 'of', 'the', 'microwave']",sr3d,True,True,True,choose the backpack that is in front of the microwave,backpack,"['microwave', 'backpack']","['microwave', 'backpack']","[['microwave', 'oven', 'stove', 'toaster oven', 'coffee maker', 'machine', 'washing machine', 'object', 'toaster', 'picture', 'box'], ['backpack', 'bag', 'duffel bag', 'purse', 'luggage', 'food bag', 'suitcase', 'grocery bag', 'golf bag', 'shopping bag', 'messenger bag']]"
13,scene0166_01,10,"[11, 29]",the door that is farthest from the stool,scene0166_01-door-3-10-11-29,horizontal,farthest,door,['stool'],[14],"['the', 'door', 'that', 'is', 'farthest', 'from', 'the', 'stool']",sr3d,True,True,True,the door that is farthest from the stool,door,"['stool', 'door']","['stool', 'door']","[['stool', 'stepstool', 'step stool', 'chair', 'footstool', 'side table', 'seat', 'office chair', 'furniture', 'end table', 'folded chair'], ['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window']]"
14,scene0101_03,15,[49],choose the door that is closer to the counter,scene0101_03-door-2-15-49,horizontal,closest,door,['counter'],[11],"['choose', 'the', 'door', 'that', 'is', 'closer', 'to', 'the', 'counter']",sr3d,True,True,True,choose the door that is closer to the counter,door,"['counter', 'door']","['counter', 'door']","[['counter', 'kitchen counter', 'picture', 'stand', 'bathroom counter', 'block', 'display', 'table', 'object', 'machine', 'step'], ['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window']]"
15,scene0325_00,21,"[22, 24]",select the office chair that is farthest from the monitor,scene0325_00-office_chair-3-21-22-24,horizontal,farthest,office chair,['monitor'],[4],"['select', 'the', 'office', 'chair', 'that', 'is', 'farthest', 'from', 'the', 'monitor']",sr3d,True,True,True,select the office chair that is farthest from the monitor,office chair,"['monitor', 'office chair']","['monitor', 'office chair']","[['monitor', 'tv', 'display', 'remote', 'picture', 'machine', 'alarm', 'controller', 'laptop', 'scale', 'heater'], ['office chair', 'chair', 'armchair', 'furniture', 'folded chair', 'rocking chair', 'carseat', 'sofa chair', 'massage chair', 'exercise bike', 'seat']]"
16,scene0416_01,40,[4],select the towel that is farthest from the office chair,scene0416_01-towel-2-40-4,horizontal,farthest,towel,['office chair'],[35],"['select', 'the', 'towel', 'that', 'is', 'farthest', 'from', 'the', 'office', 'chair']",sr3d,True,True,True,select the towel that is farthest from the office chair,towel,"['office chair', 'towel']","['office chair', 'towel']","[['office chair', 'chair', 'armchair', 'furniture', 'folded chair', 'rocking chair', 'carseat', 'sofa chair', 'massage chair', 'exercise bike', 'seat'], ['towel', 'hand towel', 'washcloth', 'blanket', 'cloth', 'paper towel', 'shower', 'bathrobe', 'laundry bag', 'toilet paper', 'sock']]"
17,scene0416_01,37,[10],the trash can that is beside the box,scene0416_01-trash_can-2-37-10,horizontal,closest,trash can,['box'],[28],"['the', 'trash', 'can', 'that', 'is', 'beside', 'the', 'box']",sr3d,True,True,True,the trash can that is beside the box,trash can,"['box', 'trash can']","['box', 'trash can']","[['box', 'covered box', 'container', 'storage box', 'case', 'picture', 'block', 'toolbox', 'mail', 'coffee box', 'crate'], ['trash can', 'trash bin', 'plastic bin', 'recycling bin', 'trash bag', 'bucket', 'storage bin', 'garbage bag', 'bin', 'plastic storage bin', 'food container']]"
18,scene0590_01,52,[16],the lamp that is in the middle of the couch and the bed,scene0590_01-lamp-2-52-16,between,between,lamp,"['couch', 'bed']","[0, 14]","['the', 'lamp', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'couch', 'and', 'the', 'bed']",sr3d,True,True,True,the lamp that is in the middle of the couch and the bed,lamp,"['couch', 'bed', 'lamp']","['couch', 'bed', 'lamp']","[['couch', 'couch cushions', 'sofa', 'sofa bed', 'sofa chair', 'furniture', 'armchair', 'pillow', 'futon', 'chair', 'seat'], ['bed', 'mattress', 'sofa bed', 'car', 'pillow', 'tv', 'boat', 'headboard', 'futon', 'seat', 'couch'], ['lamp', 'desk lamp', 'light', 'cup', 'candle', 'salt', 'fan', 'night light', 'mug', 'tv', 'bin']]"
19,scene0517_02,60,[23],choose the laptop that is close to the couch,scene0517_02-laptop-2-60-23,horizontal,closest,laptop,['couch'],[9],"['choose', 'the', 'laptop', 'that', 'is', 'close', 'to', 'the', 'couch']",sr3d,True,True,True,choose the laptop that is close to the couch,laptop,"['couch', 'laptop']","['couch', 'laptop']","[['couch', 'couch cushions', 'sofa', 'sofa bed', 'sofa chair', 'furniture', 'armchair', 'pillow', 'futon', 'chair', 'seat'], ['laptop', 'keyboard', 'notepad', 'printer', 'tv', 'picture', 'machine', 'mail', 'controller', 'copier', 'folder']]"
20,scene0613_00,21,"[5, 6]",find the shelf that is between the bed and the window,scene0613_00-shelf-3-21-5-6,between,between,shelf,"['bed', 'window']","[3, 4]","['find', 'the', 'shelf', 'that', 'is', 'between', 'the', 'bed', 'and', 'the', 'window']",sr3d,True,True,True,find the shelf that is between the bed and the window,shelf,"['bed', 'window', 'shelf']","['bed', 'window', 'shelf']","[['bed', 'mattress', 'sofa bed', 'car', 'pillow', 'tv', 'boat', 'headboard', 'futon', 'seat', 'couch'], ['window', 'windowsill', 'glass', 'display case', 'door', 'display', 'frame', 'case', 'blinds', 'screen', 'vent'], ['shelf', 'storage shelf', 'bookshelf', 'closet shelf', 'display', 'display rack', 'pantry shelf', 'closet', 'stand', 'cabinet', 'structure']]"
21,scene0517_00,61,[50],choose the book that is far from the door,scene0517_00-book-2-61-50,horizontal,farthest,book,['door'],[25],"['choose', 'the', 'book', 'that', 'is', 'far', 'from', 'the', 'door']",sr3d,True,True,True,choose the book that is far from the door,book,"['door', 'book']","['door', 'book']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['book', 'picture', 'music book', 'magazine', 'block', 'box', 'card', 'paper', 'object', 'machine', 'board']]"
22,scene0305_01,14,[9],select the window that is close to the mouse,scene0305_01-window-2-14-9,horizontal,closest,window,['mouse'],[32],"['select', 'the', 'window', 'that', 'is', 'close', 'to', 'the', 'mouse']",sr3d,True,True,True,select the window that is close to the mouse,window,"['mouse', 'window']","['mouse', 'window']","[['mouse', 'picture', 'bear', 'machine', 'fish', 'shoe', 'object', 'remote', 'heater', 'person', 'case'], ['window', 'windowsill', 'glass', 'display case', 'door', 'display', 'frame', 'case', 'blinds', 'screen', 'vent']]"
23,scene0425_01,17,[18],find the chair that is close to the cabinet,scene0425_01-chair-2-17-18,horizontal,closest,chair,['cabinet'],[37],"['find', 'the', 'chair', 'that', 'is', 'close', 'to', 'the', 'cabinet']",sr3d,True,True,True,find the chair that is close to the cabinet,chair,"['cabinet', 'chair']","['cabinet', 'chair']","[['cabinet', 'kitchen cabinet', 'cabinet door', 'file cabinet', 'wardrobe cabinet', 'drawer', 'bathroom cabinet', 'display', 'case', 'box', 'board'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
24,scene0101_00,76,[86],find the towel that is near the stove,scene0101_00-towel-2-76-86,horizontal,closest,towel,['stove'],[23],"['find', 'the', 'towel', 'that', 'is', 'near', 'the', 'stove']",sr3d,True,True,True,find the towel that is near the stove,towel,"['stove', 'towel']","['stove', 'towel']","[['stove', 'stovetop', 'oven', 'heater', 'machine', 'microwave', 'toaster', 'picture', 'pot', 'vent', 'step'], ['towel', 'hand towel', 'washcloth', 'blanket', 'cloth', 'paper towel', 'shower', 'bathrobe', 'laundry bag', 'toilet paper', 'sock']]"
25,scene0477_01,60,"[3, 38]",choose the picture that is over the table,scene0477_01-picture-3-60-3-38,vertical,above,picture,['table'],[13],"['choose', 'the', 'picture', 'that', 'is', 'over', 'the', 'table']",sr3d,True,True,True,choose the picture that is over the table,picture,"['table', 'picture']","['table', 'picture']","[['table', 'dining table', 'side table', 'round table', 'end table', 'coffee table', 'desk', 'folded table', 'plate', 'counter', 'stand'], ['picture', 'block', 'machine', 'object', 'case', 'clip', 'board', 'heater', 'decoration', 'ledge', 'light']]"
26,scene0673_00,28,[32],choose the suitcase that is in the center of the ottoman and the stool,scene0673_00-suitcase-2-28-32,between,between,suitcase,"['ottoman', 'stool']","[31, 70]","['choose', 'the', 'suitcase', 'that', 'is', 'in', 'the', 'center', 'of', 'the', 'ottoman', 'and', 'the', 'stool']",sr3d,True,True,True,choose the suitcase that is in the center of the ottoman and the stool,suitcase,"['ottoman', 'stool', 'suitcase']","['ottoman', 'stool', 'suitcase']","[['ottoman', 'chair', 'furniture', 'tv', 'bin', 'cap', 'can', 'sofa', 'salt', 'mat', 'couch'], ['stool', 'stepstool', 'step stool', 'chair', 'footstool', 'side table', 'seat', 'office chair', 'furniture', 'end table', 'folded chair'], ['suitcase', 'luggage', 'briefcase', 'duffel bag', 'instrument case', 'case', 'box', 'lunch box', 'guitar case', 'backpack', 'toolbox']]"
27,scene0352_00,19,"[26, 27, 28]",find the picture that is farthest from the telephone,scene0352_00-picture-4-19-26-27-28,horizontal,farthest,picture,['telephone'],[35],"['find', 'the', 'picture', 'that', 'is', 'farthest', 'from', 'the', 'telephone']",sr3d,True,True,True,find the picture that is farthest from the telephone,picture,"['telephone', 'picture']","['telephone', 'picture']","[['telephone', 'tv', 'mail', 'headphones', 'picture', 'remote', 'switch', 'iron', 'clock', 'block', 'pipe'], ['picture', 'block', 'machine', 'object', 'case', 'clip', 'board', 'heater', 'decoration', 'ledge', 'light']]"
28,scene0365_00,1,[20],find the bathroom stall door that is near the sink,scene0365_00-bathroom_stall_door-2-1-20,horizontal,closest,bathroom stall door,['sink'],[9],"['find', 'the', 'bathroom', 'stall', 'door', 'that', 'is', 'near', 'the', 'sink']",sr3d,True,True,True,find the bathroom stall door that is near the sink,bathroom stall door,"['sink', 'bathroom stall door']","['sink', 'bathroom stall door']","[['sink', 'soap dish', 'toilet', 'bathroom counter', 'soap', 'boat', 'counter', 'washing machine', 'picture', 'water fountain', 'bath products'], ['bathroom stall door', 'bathroom stall', 'shower door', 'closet door', 'door wall', 'bathroom cabinet', 'toilet paper dispenser', 'shower wall', 'toilet', 'door', 'closet wall']]"
29,scene0419_00,1,[7],the chair that is close to the table,scene0419_00-chair-2-1-7,horizontal,closest,chair,['table'],[39],"['the', 'chair', 'that', 'is', 'close', 'to', 'the', 'table']",sr3d,True,True,True,the chair that is close to the table,chair,"['table', 'chair']","['table', 'chair']","[['table', 'dining table', 'side table', 'round table', 'end table', 'coffee table', 'desk', 'folded table', 'plate', 'counter', 'stand'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
30,scene0320_00,10,"[9, 46]",choose the stool that is farthest from the desk,scene0320_00-stool-3-10-9-46,horizontal,farthest,stool,['desk'],[8],"['choose', 'the', 'stool', 'that', 'is', 'farthest', 'from', 'the', 'desk']",sr3d,True,True,True,choose the stool that is farthest from the desk,stool,"['desk', 'stool']","['desk', 'stool']","[['desk', 'table', 'dining table', 'side table', 'workbench', 'end table', 'tv stand', 'furniture', 'bar', 'chair', 'drawer'], ['stool', 'stepstool', 'step stool', 'chair', 'footstool', 'side table', 'seat', 'office chair', 'furniture', 'end table', 'folded chair']]"
31,scene0505_04,23,"[17, 18, 21, 22]",choose the window that is closer to the door,scene0505_04-window-5-23-17-18-21-22,horizontal,closest,window,['door'],[20],"['choose', 'the', 'window', 'that', 'is', 'closer', 'to', 'the', 'door']",sr3d,True,True,True,choose the window that is closer to the door,window,"['door', 'window']","['door', 'window']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['window', 'windowsill', 'glass', 'display case', 'door', 'display', 'frame', 'case', 'blinds', 'screen', 'vent']]"
32,scene0418_00,11,[25],choose the curtain that is over the suitcase,scene0418_00-curtain-2-11-25,vertical,above,curtain,['suitcase'],[16],"['choose', 'the', 'curtain', 'that', 'is', 'over', 'the', 'suitcase']",sr3d,True,True,True,choose the curtain that is over the suitcase,curtain,"['suitcase', 'curtain']","['suitcase', 'curtain']","[['suitcase', 'luggage', 'briefcase', 'duffel bag', 'instrument case', 'case', 'box', 'lunch box', 'guitar case', 'backpack', 'toolbox'], ['curtain', 'curtain rod', 'cloth', 'shower curtain', 'blinds', 'blanket', 'window', 'decoration', 'screen', 'wall hanging', 'toilet paper']]"
33,scene0160_02,12,[11],choose the lamp that is closer to the chair,scene0160_02-lamp-2-12-11,horizontal,closest,lamp,['chair'],[3],"['choose', 'the', 'lamp', 'that', 'is', 'closer', 'to', 'the', 'chair']",sr3d,True,True,True,choose the lamp that is closer to the chair,lamp,"['chair', 'lamp']","['chair', 'lamp']","[['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch'], ['lamp', 'desk lamp', 'light', 'cup', 'candle', 'salt', 'fan', 'night light', 'mug', 'tv', 'bin']]"
34,scene0673_01,43,"[7, 66]",choose the chair that is in the middle of the shelf and the ottoman,scene0673_01-chair-3-43-7-66,between,between,chair,"['shelf', 'ottoman']","[38, 45]","['choose', 'the', 'chair', 'that', 'is', 'in', 'the', 'middle', 'of', 'the', 'shelf', 'and', 'the', 'ottoman']",sr3d,True,True,True,choose the chair that is in the middle of the shelf and the ottoman,chair,"['shelf', 'ottoman', 'chair']","['shelf', 'ottoman', 'chair']","[['shelf', 'storage shelf', 'bookshelf', 'closet shelf', 'display', 'display rack', 'pantry shelf', 'closet', 'stand', 'cabinet', 'structure'], ['ottoman', 'chair', 'furniture', 'tv', 'bin', 'cap', 'can', 'sofa', 'salt', 'mat', 'couch'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
35,scene0590_00,20,[58],select the door that is farthest from the cabinet,scene0590_00-door-2-20-58,horizontal,farthest,door,['cabinet'],[10],"['select', 'the', 'door', 'that', 'is', 'farthest', 'from', 'the', 'cabinet']",sr3d,True,True,True,select the door that is farthest from the cabinet,door,"['cabinet', 'door']","['cabinet', 'door']","[['cabinet', 'kitchen cabinet', 'cabinet door', 'file cabinet', 'wardrobe cabinet', 'drawer', 'bathroom cabinet', 'display', 'case', 'box', 'board'], ['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window']]"
36,scene0536_02,19,[18],select the window that is far away from the pillow,scene0536_02-window-2-19-18,horizontal,farthest,window,['pillow'],[20],"['select', 'the', 'window', 'that', 'is', 'far', 'away', 'from', 'the', 'pillow']",sr3d,True,True,True,select the window that is far away from the pillow,window,"['pillow', 'window']","['pillow', 'window']","[['pillow', 'cloth', 'mattress', 'couch', 'couch cushions', 'blanket', 'futon', 'paper', 'purse', 'picture', 'alarm'], ['window', 'windowsill', 'glass', 'display case', 'door', 'display', 'frame', 'case', 'blinds', 'screen', 'vent']]"
37,scene0612_00,29,[23],choose the bar that is on the toilet,scene0612_00-bar-2-29-23,support,supported-by,bar,['toilet'],[4],"['choose', 'the', 'bar', 'that', 'is', 'on', 'the', 'toilet']",sr3d,True,True,True,choose the bar that is on the toilet,bar,"['toilet', 'bar']","['toilet', 'bar']","[['toilet', 'toiletry', 'toilet paper', 'picture', 'bathroom stall', 'toilet brush', 'changing station', 'trash bin', 'closet', 'urinal', 'trash can'], ['bar', 'tv', 'tap', 'breakfast bar', 'can', 'car', 'handicap bar', 'salt', 'cup', 'desk', 'counter']]"
38,scene0031_01,12,"[5, 7]",select the armchair that is close to the table,scene0031_01-armchair-3-12-5-7,horizontal,closest,armchair,['table'],[13],"['select', 'the', 'armchair', 'that', 'is', 'close', 'to', 'the', 'table']",sr3d,True,True,True,select the armchair that is close to the table,armchair,"['table', 'armchair']","['table', 'armchair']","[['table', 'dining table', 'side table', 'round table', 'end table', 'coffee table', 'desk', 'folded table', 'plate', 'counter', 'stand'], ['armchair', 'chair', 'office chair', 'furniture', 'rocking chair', 'folded chair', 'couch', 'sofa chair', 'seat', 'carseat', 'footstool']]"
39,scene0383_01,25,"[16, 19]",choose the box that is in front of the desk,scene0383_01-box-3-25-16-19,allocentric,front,box,['desk'],[11],"['choose', 'the', 'box', 'that', 'is', 'in', 'front', 'of', 'the', 'desk']",sr3d,True,True,True,choose the box that is in front of the desk,box,"['desk', 'box']","['desk', 'box']","[['desk', 'table', 'dining table', 'side table', 'workbench', 'end table', 'tv stand', 'furniture', 'bar', 'chair', 'drawer'], ['box', 'covered box', 'container', 'storage box', 'case', 'picture', 'block', 'toolbox', 'mail', 'coffee box', 'crate']]"
40,scene0116_02,13,[8],the toilet paper that is beside the door,scene0116_02-toilet_paper-2-13-8,horizontal,closest,toilet paper,['door'],[3],"['the', 'toilet', 'paper', 'that', 'is', 'beside', 'the', 'door']",sr3d,True,True,True,the toilet paper that is beside the door,toilet paper,"['door', 'toilet paper']","['door', 'toilet paper']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['toilet paper', 'paper towel', 'paper', 'toilet', 'toilet paper holder', 'paper towel roll', 'toilet paper dispenser', 'toiletry', 'cloth', 'toilet brush', 'trash can']]"
41,scene0590_00,46,"[14, 15]",the chair that is far from the bench,scene0590_00-chair-3-46-14-15,horizontal,farthest,chair,['bench'],[35],"['the', 'chair', 'that', 'is', 'far', 'from', 'the', 'bench']",sr3d,True,True,True,the chair that is far from the bench,chair,"['bench', 'chair']","['bench', 'chair']","[['bench', 'table', 'chair', 'piano bench', 'armchair', 'couch', 'side table', 'seat', 'workbench', 'desk', 'furniture'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
42,scene0101_01,47,[50],choose the backpack that is far from the cabinet,scene0101_01-backpack-2-47-50,horizontal,farthest,backpack,['cabinet'],[35],"['choose', 'the', 'backpack', 'that', 'is', 'far', 'from', 'the', 'cabinet']",sr3d,True,True,True,choose the backpack that is far from the cabinet,backpack,"['cabinet', 'backpack']","['cabinet', 'backpack']","[['cabinet', 'kitchen cabinet', 'cabinet door', 'file cabinet', 'wardrobe cabinet', 'drawer', 'bathroom cabinet', 'display', 'case', 'box', 'board'], ['backpack', 'bag', 'duffel bag', 'purse', 'luggage', 'food bag', 'suitcase', 'grocery bag', 'golf bag', 'shopping bag', 'messenger bag']]"
43,scene0582_00,18,"[34, 40]",find the cabinet that is beside the bookshelf,scene0582_00-cabinet-3-18-34-40,horizontal,closest,cabinet,['bookshelf'],[13],"['find', 'the', 'cabinet', 'that', 'is', 'beside', 'the', 'bookshelf']",sr3d,True,True,True,find the cabinet that is beside the bookshelf,cabinet,"['bookshelf', 'cabinet']","['bookshelf', 'cabinet']","[['bookshelf', 'shelf', 'closet shelf', 'storage shelf', 'wardrobe cabinet', 'pantry shelf', 'closet', 'kitchen cabinet', 'cabinet', 'wardrobe closet', 'display case'], ['cabinet', 'kitchen cabinet', 'cabinet door', 'file cabinet', 'wardrobe cabinet', 'drawer', 'bathroom cabinet', 'display', 'case', 'box', 'board']]"
44,scene0588_03,1,"[3, 4, 5]",select the couch that is far away from the curtain,scene0588_03-couch-4-1-3-4-5,horizontal,farthest,couch,['curtain'],[33],"['select', 'the', 'couch', 'that', 'is', 'far', 'away', 'from', 'the', 'curtain']",sr3d,True,True,True,select the couch that is far away from the curtain,couch,"['curtain', 'couch']","['curtain', 'couch']","[['curtain', 'curtain rod', 'cloth', 'shower curtain', 'blinds', 'blanket', 'window', 'decoration', 'screen', 'wall hanging', 'toilet paper'], ['couch', 'couch cushions', 'sofa', 'sofa bed', 'sofa chair', 'furniture', 'armchair', 'pillow', 'futon', 'chair', 'seat']]"
