,index,stimulus_id,utterance,correct_guess,speaker_id,listener_id,scan_id,instance_type,target_id,tokens,dataset,mentions_target_class,uses_object_lang,uses_spatial_lang,uses_color_lang,uses_shape_lang,is_train,target_object,summarized_utterance,anchor_objects,referential_order,ref_objects_rel
10,5930,scene0477_00-trash_can-3-53-25-51,Trash can beside toilet bowl,True,694,497,scene0477_00,trash can,53,"['trash', 'can', 'beside', 'toilet', 'bowl']",nr3d,True,True,True,False,False,True,trash can,trash can beside toilet bowl.,['toilet'],"['toilet', 'trash can']","[['toilet', 'toiletry', 'toilet paper', 'picture', 'bathroom stall', 'toilet brush', 'changing station', 'trash bin', 'closet', 'urinal', 'trash can'], ['trash can', 'trash bin', 'plastic bin', 'recycling bin', 'trash bag', 'bucket', 'storage bin', 'garbage bag', 'bin', 'plastic storage bin', 'food container']]"
11,27549,scene0528_00-bench-2-5-6,"The correct bench is at the end of the tablet, closest to the tv on the wall.",True,411,525,scene0528_00,bench,5,"['the', 'correct', 'bench', 'is', 'at', 'the', 'end', 'of', 'the', 'tablet', 'closest', 'to', 'the', 'tv', 'on', 'the', 'wall']",nr3d,True,True,True,False,False,True,bench,the bench closest to the tv on the wall.,"['tv', 'wall']","['tv', 'wall', 'bench']","[['tv', 'tv stand', 'fan', 'bar', 'car', 'picture', 'remote', 'monitor', 'mail', 'salt', 'laptop'], ['wall', 'picture', 'machine', 'block', 'board', 'mail', 'case', 'salt', 'scale', 'decoration', 'ball'], ['bench', 'table', 'chair', 'piano bench', 'armchair', 'couch', 'side table', 'seat', 'workbench', 'desk', 'furniture']]"
12,2618,scene0155_00-table-2-3-4,The table that has one of its chairs right next to a trash can.,True,591,662,scene0155_00,table,3,"['the', 'table', 'that', 'has', 'one', 'of', 'its', 'chairs', 'right', 'next', 'to', 'a', 'trash', 'can']",nr3d,True,True,True,False,False,True,table,the table with a chair next to a trash can.,"['chair', 'trash can']","['chair', 'trash can', 'table']","[['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch'], ['trash can', 'trash bin', 'plastic bin', 'recycling bin', 'trash bag', 'bucket', 'storage bin', 'garbage bag', 'bin', 'plastic storage bin', 'food container'], ['table', 'dining table', 'side table', 'round table', 'end table', 'coffee table', 'desk', 'folded table', 'plate', 'counter', 'stand']]"
13,17180,scene0108_00-chair-4-7-5-6-8,Stand next to and face away from the red chair.  You want the grey chair at the desk in the corner.,True,429,471,scene0108_00,chair,7,"['stand', 'next', 'to', 'and', 'face', 'away', 'from', 'the', 'red', 'chair', 'you', 'want', 'the', 'grey', 'chair', 'at', 'the', 'desk', 'in', 'the', 'corner']",nr3d,True,True,True,True,False,True,chair,the grey chair at the desk in the corner.,['desk'],"['desk', 'chair']","[['desk', 'table', 'dining table', 'side table', 'workbench', 'end table', 'tv stand', 'furniture', 'bar', 'chair', 'drawer'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
14,7484,scene0505_00-shelf-3-9-31-46,the shelf that is closest to the door.,True,575,553,scene0505_00,shelf,9,"['the', 'shelf', 'that', 'is', 'closest', 'to', 'the', 'door']",nr3d,True,True,True,False,False,True,shelf,the shelf closest to the door.,['door'],"['door', 'shelf']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['shelf', 'storage shelf', 'bookshelf', 'closet shelf', 'display', 'display rack', 'pantry shelf', 'closet', 'stand', 'cabinet', 'structure']]"
15,27373,scene0140_00-door-2-34-40,The door right next to the two black garbage cans,True,248,163,scene0140_00,door,34,"['the', 'door', 'right', 'next', 'to', 'the', 'two', 'black', 'garbage', 'cans']",nr3d,True,True,True,True,False,True,door,the door next to the black garbage cans.,['trash bin'],"['trash bin', 'door']","[['trash bin', 'trash can', 'plastic bin', 'recycling bin', 'storage bin', 'trash bag', 'garbage bag', 'bin', 'plastic storage bin', 'bucket', 'compost bin'], ['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window']]"
16,6797,scene0635_00-shelf-5-34-31-35-38-45,The middle shelf has two white boxes under a large black item,True,67,553,scene0635_00,shelf,34,"['the', 'middle', 'shelf', 'has', 'two', 'white', 'boxes', 'under', 'a', 'large', 'black', 'item']",nr3d,True,True,True,True,True,True,box,two white boxes under a large black item on the middle shelf.,"['shelf', 'picture']","['shelf', 'picture', 'box']","[['shelf', 'storage shelf', 'bookshelf', 'closet shelf', 'display', 'display rack', 'pantry shelf', 'closet', 'stand', 'cabinet', 'structure'], ['picture', 'block', 'machine', 'object', 'case', 'clip', 'board', 'heater', 'decoration', 'ledge', 'light'], ['box', 'covered box', 'container', 'storage box', 'case', 'picture', 'block', 'toolbox', 'mail', 'coffee box', 'crate']]"
17,23240,scene0220_00-curtain-2-42-4,the curtain next to the door,False,98,358,scene0220_00,curtain,42,"['the', 'curtain', 'next', 'to', 'the', 'door']",nr3d,True,True,False,False,False,True,curtain,the curtain next to the door.,['door'],"['door', 'curtain']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['curtain', 'curtain rod', 'cloth', 'shower curtain', 'blinds', 'blanket', 'window', 'decoration', 'screen', 'wall hanging', 'toilet paper']]"
18,10363,scene0619_00-keyboard-2-23-11,the keyboard with a white board in front of it,False,648,564,scene0619_00,keyboard,23,"['the', 'keyboard', 'with', 'a', 'white', 'board', 'in', 'front', 'of', 'it']",nr3d,True,True,True,True,False,True,keyboard,the keyboard with a white board in front.,['whiteboard'],"['whiteboard', 'keyboard']","[['whiteboard', 'board', 'blackboard', 'sign', 'painting', 'whiteboard eraser', 'picture', 'bulletin board', 'notepad', 'display', 'cardboard'], ['keyboard', 'keyboard piano', 'laptop', 'printer', 'controller', 'machine', 'picture', 'remote', 'heater', 'notepad', 'block']]"
19,1987,scene0673_00-shoes-3-69-8-9,choose the shoes on the floor in front of the floral couch.,True,356,661,scene0673_00,shoes,69,"['choose', 'the', 'shoes', 'on', 'the', 'floor', 'in', 'front', 'of', 'the', 'floral', 'couch']",nr3d,True,True,True,False,False,True,shoe,the shoes in front of the floral couch.,['couch'],"['couch', 'shoe']","[['couch', 'couch cushions', 'sofa', 'sofa bed', 'sofa chair', 'furniture', 'armchair', 'pillow', 'futon', 'chair', 'seat'], ['shoe', 'boots', 'slipper', 'sock', 'step', 'shoe rack', 'picture', 'object', 'tire', 'box', 'mouse']]"
20,23273,scene0026_00-toilet-3-11-9-10,"Toilet on the wall, brown in color",True,129,1,scene0026_00,toilet,11,"['toilet', 'on', 'the', 'wall', 'brown', 'in', 'color']",nr3d,True,True,True,True,False,True,toilet,brown toilet on the wall.,['wall'],"['wall', 'toilet']","[['wall', 'picture', 'machine', 'block', 'board', 'mail', 'case', 'salt', 'scale', 'decoration', 'ball'], ['toilet', 'toiletry', 'toilet paper', 'picture', 'bathroom stall', 'toilet brush', 'changing station', 'trash bin', 'closet', 'urinal', 'trash can']]"
21,21637,scene0505_00-file_cabinet-3-18-16-17,When facing the window choose the cabinet in the middle,True,85,564,scene0505_00,file cabinet,18,"['when', 'facing', 'the', 'window', 'choose', 'the', 'cabinet', 'in', 'the', 'middle']",nr3d,True,True,True,False,False,True,cabinet,the cabinet in the middle when facing the window.,['window'],"['window', 'cabinet']","[['window', 'windowsill', 'glass', 'display case', 'door', 'display', 'frame', 'case', 'blinds', 'screen', 'vent'], ['cabinet', 'kitchen cabinet', 'cabinet door', 'file cabinet', 'wardrobe cabinet', 'drawer', 'bathroom cabinet', 'display', 'case', 'box', 'board']]"
22,19758,scene0175_00-door-2-10-9,door farthest away from the toilet,True,94,230,scene0175_00,door,10,"['door', 'farthest', 'away', 'from', 'the', 'toilet']",nr3d,True,True,True,False,False,True,door,the farthest door from the toilet.,['toilet'],"['toilet', 'door']","[['toilet', 'toiletry', 'toilet paper', 'picture', 'bathroom stall', 'toilet brush', 'changing station', 'trash bin', 'closet', 'urinal', 'trash can'], ['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window']]"
23,17241,scene0465_00-trash_can-2-20-38,the trash can neared to the corner,False,648,108,scene0465_00,trash can,20,"['the', 'trash', 'can', 'neared', 'to', 'the', 'corner']",nr3d,True,True,True,False,False,True,trash can,the trash can near the corner.,[],['trash can'],"[['trash can', 'trash bin', 'plastic bin', 'recycling bin', 'trash bag', 'bucket', 'storage bin', 'garbage bag', 'bin', 'plastic storage bin', 'food container']]"
24,18091,scene0098_00-file_cabinet-2-15-13,This file cabinet is farther away from the windows than the other,True,572,367,scene0098_00,file cabinet,15,"['this', 'file', 'cabinet', 'is', 'farther', 'away', 'from', 'the', 'windows', 'than', 'the', 'other']",nr3d,True,True,True,False,False,True,file cabinet,the farther file cabinet from the windows.,['window'],"['window', 'file cabinet']","[['window', 'windowsill', 'glass', 'display case', 'door', 'display', 'frame', 'case', 'blinds', 'screen', 'vent'], ['file cabinet', 'cabinet', 'cabinet door', 'file organizer', 'wardrobe cabinet', 'storage bin', 'drawer', 'kitchen cabinet', 'storage box', 'bathroom cabinet', 'folder']]"
25,22109,scene0505_00-shelf-3-9-31-46,The shelf next to the door.,True,501,564,scene0505_00,shelf,9,"['the', 'shelf', 'next', 'to', 'the', 'door']",nr3d,True,True,False,False,False,True,shelf,the shelf next to the door.,['door'],"['door', 'shelf']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['shelf', 'storage shelf', 'bookshelf', 'closet shelf', 'display', 'display rack', 'pantry shelf', 'closet', 'stand', 'cabinet', 'structure']]"
26,13049,scene0134_00-armchair-4-8-6-7-9,The closest chair left of picture frame,False,562,444,scene0134_00,armchair,8,"['the', 'closest', 'chair', 'left', 'of', 'picture', 'frame']",nr3d,True,True,True,False,False,True,chair,the chair left of the picture frame.,['frame'],"['frame', 'chair']","[['frame', 'picture', 'structure', 'display', 'block', 'object', 'glass', 'case', 'stand', 'machine', 'card'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
27,9438,scene0018_00-printer-3-11-12-13,Laser printer sitting on the right of the desk with a grey front.,False,492,562,scene0018_00,printer,11,"['laser', 'printer', 'sitting', 'on', 'the', 'right', 'of', 'the', 'desk', 'with', 'a', 'grey', 'front']",nr3d,True,True,True,True,False,True,printer,laser printer on the right of the desk.,['desk'],"['desk', 'printer']","[['desk', 'table', 'dining table', 'side table', 'workbench', 'end table', 'tv stand', 'furniture', 'bar', 'chair', 'drawer'], ['printer', 'copier', 'paper', 'scanner', 'machine', 'picture', 'mail', 'keyboard', 'coffee maker', 'laptop', 'heater']]"
28,19338,scene0393_00-door-3-1-18-31,"There are two doors next to each other, but you should choose the other door that is close to the whiteboard.",True,29,657,scene0393_00,door,1,"['there', 'are', 'two', 'doors', 'next', 'to', 'each', 'other', 'but', 'you', 'should', 'choose', 'the', 'other', 'door', 'that', 'is', 'close', 'to', 'the', 'whiteboard']",nr3d,True,True,True,False,False,True,door,choose the door close to the whiteboard.,['whiteboard'],"['whiteboard', 'door']","[['whiteboard', 'board', 'blackboard', 'sign', 'painting', 'whiteboard eraser', 'picture', 'bulletin board', 'notepad', 'display', 'cardboard'], ['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window']]"
29,21230,scene0590_00-door-2-20-58,"it is the door at the end of the room, which leads to the outside",True,570,646,scene0590_00,door,20,"['it', 'is', 'the', 'door', 'at', 'the', 'end', 'of', 'the', 'room', 'which', 'leads', 'to', 'the', 'outside']",nr3d,True,True,True,False,False,True,door,the door at the end of the room leading outside.,['picture'],"['picture', 'door']","[['picture', 'block', 'machine', 'object', 'case', 'clip', 'board', 'heater', 'decoration', 'ledge', 'light'], ['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window']]"
30,22444,scene0059_00-doors-4-34-22-31-36,"On the wall with three doors, the middle door.",True,192,315,scene0059_00,doors,34,"['on', 'the', 'wall', 'with', 'three', 'doors', 'the', 'middle', 'door']",nr3d,True,True,True,False,False,True,door,the middle door on the wall with three doors.,['wall'],"['wall', 'door']","[['wall', 'picture', 'machine', 'block', 'board', 'mail', 'case', 'salt', 'scale', 'decoration', 'ball'], ['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window']]"
31,15026,scene0521_00-books-4-26-25-28-31,The book is in the upper right corner when facing the bookshelf,False,129,9,scene0521_00,books,26,"['the', 'book', 'is', 'in', 'the', 'upper', 'right', 'corner', 'when', 'facing', 'the', 'bookshelf']",nr3d,True,True,True,False,False,True,book,the book in the upper right corner.,['picture'],"['picture', 'book']","[['picture', 'block', 'machine', 'object', 'case', 'clip', 'board', 'heater', 'decoration', 'ledge', 'light'], ['book', 'picture', 'music book', 'magazine', 'block', 'box', 'card', 'paper', 'object', 'machine', 'board']]"
32,22992,scene0613_00-book-3-14-11-20,The book on the floor to the left of the bed,True,277,368,scene0613_00,book,14,"['the', 'book', 'on', 'the', 'floor', 'to', 'the', 'left', 'of', 'the', 'bed']",nr3d,True,True,True,False,False,True,book,the book on the left side of the bed.,['bed'],"['bed', 'book']","[['bed', 'mattress', 'sofa bed', 'car', 'pillow', 'tv', 'boat', 'headboard', 'futon', 'seat', 'couch'], ['book', 'picture', 'music book', 'magazine', 'block', 'box', 'card', 'paper', 'object', 'machine', 'board']]"
33,1136,scene0592_00-table-6-60-32-33-34-59-61,middle white desk kiddie-corner to the chair pulled out completely,False,67,353,scene0592_00,table,60,"['middle', 'white', 'desk', 'kiddie', 'corner', 'to', 'the', 'chair', 'pulled', 'out', 'completely']",nr3d,True,True,True,True,False,True,desk,the white desk kiddie-corner to the chair.,['chair'],"['chair', 'desk']","[['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch'], ['desk', 'table', 'dining table', 'side table', 'workbench', 'end table', 'tv stand', 'furniture', 'bar', 'chair', 'drawer']]"
34,15164,scene0202_00-armchair-3-4-5-12,"If you are facing the armchairs,  it is the one on the left.",True,374,7,scene0202_00,armchair,4,"['if', 'you', 'are', 'facing', 'the', 'armchairs', 'it', 'is', 'the', 'one', 'on', 'the', 'left']",nr3d,True,True,True,False,False,True,armchair,the armchair on the left when facing it.,[],['armchair'],"[['armchair', 'chair', 'office chair', 'furniture', 'rocking chair', 'folded chair', 'couch', 'sofa chair', 'seat', 'carseat', 'footstool']]"
35,1315,scene0511_00-trash_can-2-8-22,"When facing the cabinets, choose the trash can furthest to the left.",True,183,45,scene0511_00,trash can,8,"['when', 'facing', 'the', 'cabinets', 'choose', 'the', 'trash', 'can', 'farthest', 'to', 'the', 'left']",nr3d,True,True,True,False,False,True,trash can,the leftmost trash can when facing the cabinets.,['cabinet'],"['cabinet', 'trash can']","[['cabinet', 'kitchen cabinet', 'cabinet door', 'file cabinet', 'wardrobe cabinet', 'drawer', 'bathroom cabinet', 'display', 'case', 'box', 'board'], ['trash can', 'trash bin', 'plastic bin', 'recycling bin', 'trash bag', 'bucket', 'storage bin', 'garbage bag', 'bin', 'plastic storage bin', 'food container']]"
36,27212,scene0229_00-lamp-2-12-11,The lamp that is closest to the floor.,True,329,235,scene0229_00,lamp,12,"['the', 'lamp', 'that', 'is', 'closest', 'to', 'the', 'floor']",nr3d,True,True,True,False,False,True,lamp,the lamp closest to the floor.,['floor'],"['floor', 'lamp']","[['floor', 'closet floor', 'carpet', 'shower floor', 'step', 'picture', 'shoe', 'table', 'mat', 'scale', 'toilet'], ['lamp', 'desk lamp', 'light', 'cup', 'candle', 'salt', 'fan', 'night light', 'mug', 'tv', 'bin']]"
37,11276,scene0672_00-picture-5-10-8-9-11-20,The framed picture on the dresser under the art on the wall,True,175,386,scene0672_00,picture,10,"['the', 'framed', 'picture', 'on', 'the', 'dresser', 'under', 'the', 'art', 'on', 'the', 'wall']",nr3d,True,True,True,False,False,True,picture,the framed picture on the dresser.,['dresser'],"['dresser', 'picture']","[['dresser', 'drawer', 'wardrobe cabinet', 'cabinet', 'tv stand', 'wardrobe closet', 'bookshelf', 'nightstand', 'shelf', 'kitchen cabinet', 'closet'], ['picture', 'block', 'machine', 'object', 'case', 'clip', 'board', 'heater', 'decoration', 'ledge', 'light']]"
38,10438,scene0433_00-kitchen_cabinets-3-21-3-23,The lower set of only three cabinets that is not under the sink.,True,248,89,scene0433_00,kitchen cabinets,21,"['the', 'lower', 'set', 'of', 'only', 'three', 'cabinets', 'that', 'is', 'not', 'under', 'the', 'sink']",nr3d,True,True,True,False,False,True,cabinet,the lower set of three cabinets not under the sink.,['sink'],"['sink', 'cabinet']","[['sink', 'soap dish', 'toilet', 'bathroom counter', 'soap', 'boat', 'counter', 'washing machine', 'picture', 'water fountain', 'bath products'], ['cabinet', 'kitchen cabinet', 'cabinet door', 'file cabinet', 'wardrobe cabinet', 'drawer', 'bathroom cabinet', 'display', 'case', 'box', 'board']]"
39,25754,scene0419_00-chair-2-7-1,This office style chair is in front of the middle window,True,595,187,scene0419_00,chair,7,"['this', 'office', 'style', 'chair', 'is', 'in', 'front', 'of', 'the', 'middle', 'window']",nr3d,True,True,True,False,False,True,chair,the chair in front of the window.,['window'],"['window', 'chair']","[['window', 'windowsill', 'glass', 'display case', 'door', 'display', 'frame', 'case', 'blinds', 'screen', 'vent'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
40,16360,scene0041_00-table-5-7-4-5-6-8,It is the table to the left of the white door.,True,373,555,scene0041_00,table,7,"['it', 'is', 'the', 'table', 'to', 'the', 'left', 'of', 'the', 'white', 'door']",nr3d,True,True,True,True,False,True,table,the table to the left of the white door.,['door'],"['door', 'table']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['table', 'dining table', 'side table', 'round table', 'end table', 'coffee table', 'desk', 'folded table', 'plate', 'counter', 'stand']]"
41,12365,scene0270_00-chair-2-38-13,chair furthest away from the beds,True,175,112,scene0270_00,chair,38,"['chair', 'farthest', 'away', 'from', 'the', 'beds']",nr3d,True,True,True,False,False,True,chair,the chair furthest from the beds.,['bed'],"['bed', 'chair']","[['bed', 'mattress', 'sofa bed', 'car', 'pillow', 'tv', 'boat', 'headboard', 'futon', 'seat', 'couch'], ['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch']]"
42,2250,scene0419_00-shoes-2-44-45,The shoes farthest from the door.,True,564,70,scene0419_00,shoes,44,"['the', 'shoes', 'farthest', 'from', 'the', 'door']",nr3d,True,True,True,False,False,True,shoe,the shoes farthest from the door.,['door'],"['door', 'shoe']","[['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window'], ['shoe', 'boots', 'slipper', 'sock', 'step', 'shoe rack', 'picture', 'object', 'tire', 'box', 'mouse']]"
43,15732,scene0276_00-door-2-30-14,Door furthest from the bed,True,16,596,scene0276_00,door,30,"['door', 'farthest', 'from', 'the', 'bed']",nr3d,True,True,True,False,False,True,door,the door furthest from the bed.,['bed'],"['bed', 'door']","[['bed', 'mattress', 'sofa bed', 'car', 'pillow', 'tv', 'boat', 'headboard', 'futon', 'seat', 'couch'], ['door', 'door wall', 'doorframe', 'closet door', 'cabinet door', 'mirror doors', 'shower door', 'toilet', 'box', 'garage door', 'window']]"
44,10677,scene0464_00-picture-4-26-27-28-40,The small picture to the right of the blue picture.,True,506,553,scene0464_00,picture,26,"['the', 'small', 'picture', 'to', 'the', 'right', 'of', 'the', 'blue', 'picture']",nr3d,True,True,True,True,True,True,picture,the small picture to the right of the blue picture.,[],['picture'],"[['picture', 'block', 'machine', 'object', 'case', 'clip', 'board', 'heater', 'decoration', 'ledge', 'light']]"
45,11147,scene0180_00-table-4-22-0-1-27,The beige table directly behind the chair at the end of the conference table.,True,390,132,scene0180_00,table,22,"['the', 'beige', 'table', 'directly', 'behind', 'the', 'chair', 'at', 'the', 'end', 'of', 'the', 'conference', 'table']",nr3d,True,True,True,True,False,True,table,the beige table behind the chair at the end of the conference table.,"['chair', 'dining table']","['chair', 'dining table', 'table']","[['chair', 'armchair', 'office chair', 'folded chair', 'seat', 'furniture', 'rocking chair', 'sofa chair', 'stool', 'carseat', 'couch'], ['dining table', 'table', 'round table', 'coffee table', 'side table', 'end table', 'desk', 'kitchen counter', 'furniture', 'kitchen island', 'folded table'], ['table', 'dining table', 'side table', 'round table', 'end table', 'coffee table', 'desk', 'folded table', 'plate', 'counter', 'stand']]"
